datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-11-18,236,64,25,299,56,66,10,3,3,4,62,10,13
2020-11-19,240,76,15,356,78,76,7,4,7,34,1052,740,14
2020-11-20,256,75,21,269,74,59,7,1,8,22,1806,14,11
2020-11-21,171,55,23,121,39,33,3,3,1,7,611,240,5
2020-11-22,143,41,18,95,39,13,2,0,0,0,0,0,0
2020-11-23,199,60,20,258,46,75,7,4,6,32,744,217,15
2020-11-24,216,65,18,272,54,64,5,1,6,21,590,347,15
2020-11-25,229,71,20,279,64,49,5,2,6,26,1948,460,14
2020-11-26,185,61,20,164,50,38,5,0,2,4,38,25,3
2020-11-27,178,57,25,212,42,50,2,0,5,17,445,147,10
2020-11-28,117,46,13,76,18,21,3,0,1,4,230,136,0
2020-11-29,118,48,14,76,25,10,0,1,0,0,0,0,0
2020-11-30,185,45,18,296,67,73,8,6,1,3,179,158,0
2020-12-01,233,68,23,366,130,80,4,4,4,9,103,73,2
2020-12-02,210,60,15,404,85,105,2,0,3,9,341,56,3
2020-12-03,222,68,19,320,74,61,5,0,2,5,108,88,0
2020-12-04,184,54,9,359,59,71,4,1,0,0,0,0,0
2020-12-05,139,45,17,92,31,15,5,0,1,6,179,183,0
2020-12-06,116,44,13,56,22,10,1,1,0,0,0,0,0
2020-12-07,206,50,14,304,66,63,11,2,5,7,63,13,2
2020-12-08,199,56,26,264,53,67,9,2,10,16,488,146,11
2020-12-09,226,72,8,321,64,62,7,2,7,15,303,62,13
2020-12-10,216,65,18,267,54,58,9,0,9,26,735,238,2
2020-12-11,270,85,21,337,75,56,9,4,4,21,282,27,5
2020-12-12,291,191,14,125,39,31,0,0,0,0,0,0,2
2020-12-13,207,107,18,113,37,30,3,0,0,0,0,0,0
2020-12-14,231,68,13,311,79,75,9,1,4,6,15,14,6
2020-12-15,284,83,19,352,96,65,7,3,5,20,111,45,10
