datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-11-26,133,35,18,120,21,8,4,1,11,25,16033,647,6
2020-11-27,149,49,16,108,16,6,6,1,0,0,0,0,0
2020-11-28,94,37,10,62,14,6,3,0,0,0,0,0,0
2020-11-29,106,52,16,40,6,1,0,0,0,0,0,0,0
2020-11-30,176,56,17,174,15,19,11,1,1,6,68,40,8
2020-12-01,173,42,28,196,21,25,8,1,2,3,4,2,8
2020-12-02,190,48,22,190,28,33,12,1,12,19,395,139,15
2020-12-03,189,48,27,237,22,30,12,4,10,53,2279,201,46
2020-12-04,172,43,17,214,19,29,11,4,3,16,179,194,13
2020-12-05,89,29,17,69,6,10,2,0,1,1,2,2,1
2020-12-06,66,20,8,50,6,7,0,1,0,0,0,0,13
2020-12-07,171,46,19,229,23,27,7,3,6,28,96,40,10
2020-12-08,195,65,21,222,17,23,15,0,4,4,65,31,16
2020-12-09,262,129,16,210,16,16,51,3,21,62,2288,818,37
2020-12-10,209,80,22,190,18,19,8,1,8,22,446,217,17
2020-12-11,154,38,12,166,18,13,11,1,8,33,2240,1760,32
2020-12-12,103,35,17,65,10,5,5,1,2,43,257,405,36
2020-12-13,100,45,19,47,6,3,4,0,0,0,0,0,0
2020-12-14,183,63,23,214,24,22,10,4,4,6,526,249,12
2020-12-15,187,50,29,186,22,15,28,4,21,49,2612,778,13
2020-12-16,158,30,23,179,24,11,12,7,23,33,305,167,11
2020-12-17,195,51,25,207,23,15,33,6,48,67,2137,894,11
2020-12-18,152,44,21,155,31,34,14,2,4,6,305,293,8
2020-12-19,86,31,9,52,12,7,7,1,0,0,0,0,4
2020-12-20,88,47,13,34,7,5,4,0,4,3,0,33,0
2020-12-21,147,42,13,179,16,18,5,2,5,6,53,60,14
2020-12-22,155,43,21,160,15,14,1,0,4,5,40,41,26
2020-12-23,139,37,19,181,18,13,2,2,2,2,845,824,18
2020-12-24,143,47,20,137,10,13,1,1,0,0,0,0,3
2020-12-25,90,40,12,43,8,3,0,0,0,0,0,0,0
2020-12-26,75,33,13,36,10,6,0,0,0,0,0,0,0
2020-12-27,93,40,17,85,14,8,2,1,1,1,2,2,2
2020-12-28,174,53,23,213,20,20,7,1,15,38,532,211,16
2020-12-29,144,53,18,143,22,4,8,3,4,11,346,278,22
2020-12-30,133,48,13,112,17,21,3,0,3,5,22,7,21
2020-12-31,105,31,19,97,15,11,5,2,6,8,98,29,6
