datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-11-28,22,12,2,13,2,1,0,0,0,0,0,0,17
2020-11-29,20,12,2,7,0,0,4,0,3,4,244,252,4
2020-11-30,31,19,4,23,2,2,1,0,2,17,508,2391,15
2020-12-01,30,17,2,20,6,3,2,0,0,0,0,0,4
2020-12-02,32,16,7,22,4,4,0,0,0,0,0,0,6
2020-12-03,25,14,3,20,4,3,5,1,3,5,13,20,0
2020-12-04,31,15,7,38,4,4,1,0,1,1,7,2,5
2020-12-05,17,7,3,12,0,0,3,0,1,1,1,1,20
2020-12-06,16,1,3,19,2,4,4,1,4,31,276,74,6
2020-12-07,26,9,4,11,3,3,2,1,2,9,72,31,19
2020-12-08,29,12,3,46,9,9,1,0,3,27,998,25,5
2020-12-09,39,20,7,30,6,3,3,0,2,5,2,6,14
2020-12-10,38,22,5,15,3,5,3,0,3,84,3382,4,6
2020-12-11,24,12,2,12,2,9,1,0,2,10,27,15,5
2020-12-12,16,7,3,21,2,3,3,0,3,5,57,53,7
2020-12-13,12,5,1,9,1,2,1,0,1,3,2,1,0
2020-12-14,26,13,5,21,2,2,3,1,2,4,5,21,10
2020-12-15,36,13,10,23,2,2,4,0,2,4,7,2,18
2020-12-16,40,26,5,17,6,4,1,0,1,1,4,4,1
2020-12-17,30,13,3,42,6,7,2,0,2,9,276,299,7
2020-12-18,25,15,4,20,3,2,0,0,1,7,480,17,4
2020-12-19,20,12,2,12,2,1,3,0,4,20,1599,25,5
2020-12-20,10,6,1,5,0,0,1,1,0,0,0,0,9
2020-12-21,31,11,5,43,9,6,5,1,6,17,59,249,10
2020-12-22,32,16,8,31,5,4,4,1,3,10,10,12,2
2020-12-23,27,10,8,18,5,5,2,0,1,15,22,5,15
2020-12-24,30,13,4,15,10,10,2,0,2,4,755,2,0
2020-12-25,22,13,4,11,3,4,0,1,0,0,0,0,1
2020-12-26,13,5,3,9,0,0,4,1,1,1,2,1,16
2020-12-27,14,6,2,13,1,0,1,0,1,1,20,20,0
2020-12-28,25,15,2,47,3,4,3,2,1,1,2,0,9
2020-12-29,28,13,5,20,6,7,1,0,2,85,899,653,12
2020-12-30,41,17,11,36,7,4,2,0,2,28,108,61,32
2020-12-31,28,11,6,36,2,2,2,1,1,2,2,0,19
